GasGasInteraction.xml Single,GasGasInteraction.xml Parallel,ToroCase4.xml Single,ToroCase4.xml Parallel,ToroCase3.xml Single,ToroCase3.xml Parallel,
2.747333333333330E+02,7.057333333333330E+02,2.663833333333330E+00,5.354500000000000E+00,6.538833333333330E+00,1.255500000000000E+01,ALPACA_1_32_6_RK2_Roe_GlobalLaxFriedrichs_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
7.142666666666670E+02,9.300666666666670E+02,3.283166666666670E+00,5.723333333333330E+00,8.065666666666670E+00,1.315000000000000E+01,ALPACA_1_32_6_RK2_Roe_GlobalLaxFriedrichs_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
3.209500000000000E+03,1.635166666666670E+03,2.874166666666670E+00,5.214833333333330E+00,6.639500000000000E+00,1.157666666666670E+01,ALPACA_1_32_6_RK2_Roe_LocalLaxFriedrichs_M_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
7.898333333333330E+03,2.781000000000000E+03,3.637500000000000E+00,5.501333333333330E+00,8.995833333333330E+00,1.251333333333330E+01,ALPACA_1_32_6_RK2_Roe_LocalLaxFriedrichs_M_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
5.615666666666670E+02,1.085166666666670E+03,3.872666666666670E+00,7.083666666666670E+00,9.647666666666670E+00,1.688666666666670E+01,ALPACA_1_32_6_RK3_Roe_GlobalLaxFriedrichs_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
1.298500000000000E+03,1.410333333333330E+03,5.015166666666670E+00,7.616833333333330E+00,1.218666666666670E+01,1.766666666666670E+01,ALPACA_1_32_6_RK3_Roe_GlobalLaxFriedrichs_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
8.164000000000000E+02,1.203833333333330E+03,3.997333333333330E+00,6.549166666666670E+00,9.539333333333330E+00,1.509166666666670E+01,ALPACA_1_32_6_RK3_Roe_LocalLaxFriedrichs_M_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
3.121000000000000E+03,1.884666666666670E+03,5.238500000000000E+00,7.109833333333330E+00,1.195000000000000E+01,1.591666666666670E+01,ALPACA_1_32_6_RK3_Roe_LocalLaxFriedrichs_M_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
8.558666666666670E+01,2.160666666666670E+02,7.879833333333330E-01,1.803166666666670E+00,1.740400000000000E+00,3.876500000000000E+00,ALPACA_1_8_6_RK2_Roe_GlobalLaxFriedrichs_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
1.465666666666670E+02,2.417000000000000E+02,8.799833333333330E-01,1.847000000000000E+00,1.956166666666670E+00,3.952333333333330E+00,ALPACA_1_8_6_RK2_Roe_GlobalLaxFriedrichs_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
4.191500000000000E+02,3.111166666666670E+02,8.560833333333330E-01,1.763666666666670E+00,1.795500000000000E+00,3.635166666666670E+00,ALPACA_1_8_6_RK2_Roe_LocalLaxFriedrichs_M_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
8.172000000000000E+02,4.183666666666670E+02,9.172000000000000E-01,1.756666666666670E+00,2.004166666666670E+00,3.714333333333330E+00,ALPACA_1_8_6_RK2_Roe_LocalLaxFriedrichs_M_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
2.089833333333330E+02,3.323833333333330E+02,1.019500000000000E+00,2.250666666666670E+00,2.521500000000000E+00,5.182500000000000E+00,ALPACA_1_8_6_RK3_Roe_GlobalLaxFriedrichs_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
4.467500000000000E+02,4.082500000000000E+02,1.212333333333330E+00,2.321000000000000E+00,2.847500000000000E+00,5.258666666666670E+00,ALPACA_1_8_6_RK3_Roe_GlobalLaxFriedrichs_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
2.634333333333330E+02,3.510333333333330E+02,1.059666666666670E+00,2.075666666666670E+00,2.464000000000000E+00,4.641500000000000E+00,ALPACA_1_8_6_RK3_Roe_LocalLaxFriedrichs_M_WENO5Z_HOUC5_ReconstructionStencil_Min_Linearized
8.372333333333330E+02,5.167666666666670E+02,1.224333333333330E+00,2.201000000000000E+00,2.879166666666670E+00,4.851500000000000E+00,ALPACA_1_8_6_RK3_Roe_LocalLaxFriedrichs_M_WENO9_HOUC5_ReconstructionStencil_Min_Linearized
